Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
lavender-buddha-kerze,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Lavendel-Buddha-Kerze.jpg?v=1648331252,4,Burning Buddha Yoga Geschenk,,,,,,,,,,,,,,,,,,,,,
lavender-buddha-kerze,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Yoga-Kerze-Burning-Buddha.jpg?v=1648331252,5,Burning Buddha Lavendel Kerze,,,,,,,,,,,,,,,,,,,,,
lavender-buddha-kerze,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Candles-of-Wisdom_Coin_of_Wisdom_444bbfe7-03bf-4a67-9d60-804395d49717.jpg?v=1648331263,6,,,,,,,,,,,,,,,,,,,,,,
lavender-buddha-kerze,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Candles-of-Wisdom-Verpackung_85e0c7c1-3ba1-4bb3-9c05-b428015dde69.jpg?v=1648331279,7,,,,,,,,,,,,,,,,,,,,,,
royal,XX Meister Royal,"<p>Der Burning Buddha ist mehr als nur eine Kerze. Er steckt voller<span> </span><strong><span><a href=""https://www.burningbuddha.de/pages/info"" title=""Symbolik und Philosophie"" target=""_blank"">Symbolik</a></span></strong><span> </span>und spielt mit der<span> </span><strong>Vergänglichkeit der Schönheit</strong><span> </span>- Zündest Du die Kerze an oder ist sie zu schade dazu? So einfach ist die Entscheidung nicht, denn der Buddha lockt mit einer<span> </span><strong>Besonderheit</strong>: Nach dem Wegschmelzen offenbart er eine<span> </span><strong>Glücksmünze</strong>, auf der alte<span> </span><strong>Weisheiten</strong><span> </span>verewigt sind.</p>
<p><span>Die Herstellung unserer <strong>mehrfarbigen Modelle</strong> ist sehr <strong>aufwendig</strong>, wobei das <strong>Endresultat</strong> nie ganz vorhersehbar ist. Jeder Buddha ist ein <strong>Unikat</strong> mit individuellem Charme und <strong>variiert im Aussehen</strong>.<br></span></p>
<p><strong>Material:</strong><span> Rapswachs Komposition mit Paraffinanteil, Baumwolldocht, Metallmünze</span><br><strong>Farbe:</strong><span> durchgefärbt violett, glanzbeschichtet, kupfer-gold gesprenkelt, RAL Kerzengüte Qualität</span><br><strong>Brenndauer:</strong><span> 30h</span><br><strong>Größe:</strong><span> 19cm<br><strong data-mce-fragment=""1"">Geruchsneutral</strong><br></span></p>",burningbuddha,,Buddha Candle,"__tab1:philosophie, Buddha, candle, coin, free, handmade, Kerze, noplastic, sustainable",false,Title,Default Title,,,,,BB-Royal,430.0,shopify,1,deny,manual,44.90,44.90,true,true,"",https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Burning-Buddha-Kerze-Skulptur-Royal-Meister.png?v=1567176022,1,,false,Burning Buddha Figur - Kerze Meister,,,,,,,,,,,,,,,,kg,,4.50,draft
royal,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Burning-Buddha-Kerze-Royal.jpg?v=1567176022,2,,,,,,,,,,,,,,,,,,,,,,
royal,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Burning-Buddha-Coin-of-Wisdom2_0d4e3984-bace-48ea-adef-30efcc7829f2.jpg?v=1567176022,3,,,,,,,,,,,,,,,,,,,,,,
royal,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Burning-Buddha-Verpackung_13d9cad9-342c-4994-a39c-52b566edd097.jpg?v=1567176022,4,Verpackung,,,,,,,,,,,,,,,,,,,,,
peach,Meister Candle Peach,"<p><span>Der Meister ist mehr als nur eine Kerze. Er steckt voller </span><strong><span><a href=""https://candlesofwisdom.com/pages/info"" title=""Symbolik und Philosophie"" target=""_blank"">Symbolik</a></span></strong><span> und spielt mit der Vergänglichkeit der Schönheit. Zündest Du die Kerze an oder ist sie zu schade dazu? Einfach ist die Entscheidung nicht, doch der Meister lockt mit einer Besonderheit und belohnt diejenigen die sich trauen: Nach dem Wegschmelzen offenbart er eine Glücksmünze, auf der alte Weisheiten verewigt sind.</span><br><br><strong>Material:</strong><span> Rapswachs Komposition mit Paraffinanteil, Baumwolldocht, Metallmünze</span><br><strong>Farbe:</strong><span> Durchgefärbt pfirsichfarben, RAL Kerzengüte Qualität</span><br><strong>Brenndauer:</strong><span> 30h</span><br><strong>Größe:</strong><span>19cm</span><br><strong>Geruch:<span> </span></strong><span>neutral</span></p>",Candles of Wisdom,,Buddha Candle,"__tab1:philosophie, Buddha, candle, coin, free, handmade, Kerze, noplastic, sustainable",true,Title,Default Title,,,,,BB-Sake,430.0,shopify,18,deny,manual,39.90,,true,true,'633710796538,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Buddha-Figur-Salmon-Burning-Buddha.png?v=1648372428,1,,false,Meister Candle Peach  - Candles of Wisdom,,,,,,,,,,,,,,,,kg,,3.50,active
peach,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Candles-of-Wisdom-Buddha-Candle-Peach.jpg?v=1648372428,2,,,,,,,,,,,,,,,,,,,,,,
peach,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Candles-of-Wisdom_Coin_of_Wisdom_1b83c8ea-4d27-4854-a4ec-fda00d55f60b.jpg?v=1648372428,3,,,,,,,,,,,,,,,,,,,,,,
peach,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Candles-of-Wisdom-Verpackung_f9e71743-b218-4f06-8b3b-4fe40d397541.jpg?v=1648372428,4,,,,,,,,,,,,,,,,,,,,,,
